CodigoSucursal,CodigoFuerza,CodigoModoAtencion,CodigoRuta,CodigoCliente,FechaDesde,FechaHasta
1,1,PRE,102,1776,2001/01/01,31/12/8999
1,1,PRE,102,1782,2001/01/01,31/12/8999
1,1,PRE,102,1793,2001/01/01,31/12/8999
1,1,PRE,96,1809,2001/01/01,31/12/8999
1,1,PRE,118,1816,2001/01/01,31/12/8999
1,1,PRE,111,1820,2001/01/01,31/12/8999
1,1,PRE,118,1830,2001/01/01,31/12/8999
1,1,PRE,96,1842,2001/01/01,31/12/8999
1,1,PRE,96,1843,2001/01/01,31/12/8999
1,1,PRE,73,1861,2001/01/01,31/12/8999
1,1,PRE,91,1870,2001/01/01,31/12/8999
1,1,PRE,91,1872,2001/01/01,31/12/8999
1,1,PRE,91,1883,2001/01/01,31/12/8999
1,1,PRE,89,1884,2001/01/01,31/12/8999
1,1,PRE,28,1888,2001/01/01,31/12/8999
1,1,PRE,102,1929,2001/01/01,31/12/8999
1,1,PRE,91,1954,2001/01/01,31/12/8999
1,1,PRE,110,1977,2001/01/01,31/12/8999
1,1,PRE,118,1997,2001/01/01,31/12/8999
1,1,PRE,102,2006,2001/01/01,31/12/8999
1,1,PRE,102,2008,2001/01/01,31/12/8999
1,1,PRE,96,2027,2001/01/01,31/12/8999
1,1,PRE,110,2045,2001/01/01,31/12/8999
1,1,PRE,90,2046,2001/01/01,31/12/8999
1,1,PRE,90,2047,2001/01/01,31/12/8999
1,1,PRE,102,2067,2001/01/01,31/12/8999
1,1,PRE,110,2072,2001/01/01,31/12/8999
1,1,PRE,113,2077,2001/01/01,31/12/8999
1,1,PRE,110,2085,2001/01/01,31/12/8999
1,1,PRE,90,2100,2001/01/01,31/12/8999
1,1,PRE,90,2104,2001/01/01,31/12/8999
1,1,PRE,110,2139,2001/01/01,31/12/8999
1,1,PRE,94,2144,2001/01/01,31/12/8999
1,1,PRE,28,2145,2001/01/01,31/12/8999
1,1,PRE,28,2152,2001/01/01,31/12/8999
1,1,PRE,28,2168,2001/01/01,31/12/8999
1,1,PRE,110,2194,2001/01/01,31/12/8999
1,1,PRE,28,2204,2001/01/01,31/12/8999
1,1,PRE,118,2216,2001/01/01,31/12/8999
1,1,PRE,94,2223,2001/01/01,31/12/8999
1,1,PRE,28,2236,2001/01/01,31/12/8999
1,1,PRE,90,2242,2001/01/01,31/12/8999
1,1,PRE,87,2256,2001/01/01,31/12/8999
1,1,PRE,90,2262,2001/01/01,31/12/8999
1,1,PRE,117,2277,2001/01/01,31/12/8999
1,1,PRE,28,2297,2001/01/01,31/12/8999
1,1,PRE,87,2306,2001/01/01,31/12/8999
1,1,PRE,91,2326,2001/01/01,31/12/8999
1,1,PRE,94,2331,2001/01/01,31/12/8999
1,1,PRE,95,2344,2001/01/01,31/12/8999
1,1,PRE,95,2378,2001/01/01,31/12/8999
1,1,PRE,94,2382,2001/01/01,31/12/8999
1,1,PRE,102,2388,2001/01/01,31/12/8999
1,1,PRE,102,2389,2001/01/01,31/12/8999
1,1,PRE,90,2413,2001/01/01,31/12/8999
1,1,PRE,119,2442,2001/01/01,31/12/8999
1,1,PRE,94,2452,2001/01/01,31/12/8999
1,1,PRE,102,2458,2001/01/01,31/12/8999
1,1,PRE,102,2475,2001/01/01,31/12/8999
1,1,PRE,87,2476,2001/01/01,31/12/8999
1,1,PRE,89,2480,2001/01/01,31/12/8999
1,1,PRE,110,2484,2001/01/01,31/12/8999
1,1,PRE,28,2542,2001/01/01,31/12/8999
1,1,PRE,111,2545,2001/01/01,31/12/8999
1,1,PRE,102,2547,2001/01/01,31/12/8999
1,1,PRE,110,2554,2001/01/01,31/12/8999
1,1,PRE,90,2555,2001/01/01,31/12/8999
1,1,PRE,88,2557,2001/01/01,31/12/8999
1,1,PRE,90,2566,2001/01/01,31/12/8999
1,1,PRE,118,2599,2001/01/01,31/12/8999
1,1,PRE,110,2614,2001/01/01,31/12/8999
1,1,PRE,111,2615,2001/01/01,31/12/8999
1,1,PRE,73,2620,2001/01/01,31/12/8999
1,1,PRE,88,2627,2001/01/01,31/12/8999
1,1,PRE,96,2632,2001/01/01,31/12/8999
1,1,PRE,118,2636,2001/01/01,31/12/8999
1,1,PRE,100,2641,2001/01/01,31/12/8999
1,1,PRE,111,2661,2001/01/01,31/12/8999
1,1,PRE,96,2679,2001/01/01,31/12/8999
1,1,PRE,94,2718,2001/01/01,31/12/8999
1,1,PRE,28,2732,2001/01/01,31/12/8999
1,1,PRE,73,2768,2001/01/01,31/12/8999
1,1,PRE,73,2769,2001/01/01,31/12/8999
1,1,PRE,73,2776,2001/01/01,31/12/8999
1,1,PRE,110,2792,2001/01/01,31/12/8999
1,1,PRE,73,2808,2001/01/01,31/12/8999
1,1,PRE,28,2818,2001/01/01,31/12/8999
1,1,PRE,107,2861,2001/01/01,31/12/8999
1,1,PRE,102,2871,2001/01/01,31/12/8999
1,1,PRE,73,2883,2001/01/01,31/12/8999
1,1,PRE,73,2884,2001/01/01,31/12/8999
1,1,PRE,119,2888,2001/01/01,31/12/8999
1,1,PRE,100,2893,2001/01/01,31/12/8999
1,1,PRE,118,2902,2001/01/01,31/12/8999
1,1,PRE,119,2932,2001/01/01,31/12/8999
1,1,PRE,73,2942,2001/01/01,31/12/8999
1,1,PRE,107,2949,2001/01/01,31/12/8999
1,1,PRE,113,2952,2001/01/01,31/12/8999
1,1,PRE,87,2972,2001/01/01,31/12/8999
1,1,PRE,87,2975,2001/01/01,31/12/8999
1,1,PRE,119,2985,2001/01/01,31/12/8999
1,1,PRE,111,2992,2001/01/01,31/12/8999
1,1,PRE,107,3000,2001/01/01,31/12/8999
1,1,PRE,107,3003,2001/01/01,31/12/8999
1,1,PRE,96,3006,2001/01/01,31/12/8999
1,1,PRE,107,3017,2001/01/01,31/12/8999
1,1,PRE,110,3027,2001/01/01,31/12/8999
